k, l, time, score, round, eps
7,3,0.4466693750000559,667,5,0.9
9,2,0.040365249999922526,1160,5,0.9
9,3,0.8939905830002317,1169,5,0.9
11,2,0.06965266699990025,1736,5,0.9
11,3,1.574800458000027,1736,5,0.9
13,2,0.09809791599991513,2361,5,0.9
13,3,2.2272519170001033,2426,5,0.9
4,4,1.5433758330000273,182,5,0.9
7,4,6.5329564580001716,671,5,0.9
10,4,16.764116291999926,1462,5,0.9
13,4,33.46266749999995,2353,5,0.9
3,2,0.00626166700021713,82,6,0.1
3,3,0.10977041600017401,82,6,0.1
5,2,0.02067724999960774,281,6,0.1
5,3,0.4471586660001776,289,6,0.1
7,2,0.04505062499993073,726,6,0.1
7,3,1.0189457909991688,703,6,0.1
9,2,0.0775949999997465,1104,6,0.1
9,3,1.7056155829995987,1088,6,0.1
11,2,0.12618483300047956,1748,6,0.1
11,3,2.819446292000066,1789,6,0.1
13,2,0.1922947090006346,2482,6,0.1
13,3,4.298507790999793,2493,6,0.1
4,4,3.7216728749999675,153,6,0.1
7,4,15.400331416999506,624,6,0.1
10,4,36.21437337499992,1393,6,0.1
13,4,68.32394983300037,2526,6,0.1
3,2,0.0037300829999367124,82,6,0.3
3,3,0.07396758300001238,82,6,0.3
5,2,0.014600541999243433,281,6,0.3
5,3,0.3192199590002929,289,6,0.3
7,2,0.034379292000267014,726,6,0.3
7,3,0.7481752089997826,636,6,0.3
9,2,0.05712254099944403,1104,6,0.3
9,3,1.274069292000604,1104,6,0.3
11,2,0.0966986250004993,1748,6,0.3
11,3,2.1799126670002806,1751,6,0.3
13,2,0.14175758399960614,2482,6,0.3
13,3,3.1344123750004655,2524,6,0.3
4,4,2.7511042090000046,153,6,0.3
7,4,12.366313167000044,631,6,0.3
10,4,28.826457374999336,1404,6,0.3
13,4,49.412121708000086,2550,6,0.3
3,2,0.00304374999996071,82,6,0.6
3,3,0.05290858299940737,82,6,0.6
5,2,0.011381500000425149,281,6,0.6
5,3,0.25275520800005324,289,6,0.6
7,2,0.027955583999755618,726,6,0.6
7,3,0.6073509999996531,636,6,0.6
9,2,0.04601925000042684,1104,6,0.6
9,3,1.0175257910004802,1104,6,0.6
11,2,0.08159754200005409,1748,6,0.6
11,3,1.7554177499996513,1743,6,0.6
13,2,0.11333237500002724,2482,6,0.6
13,3,2.480034458000773,2524,6,0.6
4,4,1.9044712920003803,153,6,0.6
7,4,9.095024999999623,631,6,0.6
10,4,22.028546333999657,1392,6,0.6
13,4,37.90495666699917,2489,6,0.6
3,2,0.002582375000201864,82,6,0.9
3,3,0.03921958299997641,82,6,0.9
5,2,0.00769954199950007,281,6,0.9
5,3,0.16473074999976234,289,6,0.9
7,2,0.019405167000513757,726,6,0.9
7,3,0.42234650000045804,727,6,0.9
9,2,0.038853457999721286,1104,6,0.9
9,3,0.8600709580005059,1104,6,0.9
11,2,0.0687724999997954,1748,6,0.9
11,3,1.5290757499997198,1751,6,0.9
13,2,0.09695791600006487,2482,6,0.9
13,3,2.1612441249999392,2482,6,0.9
4,4,1.539742416000081,153,6,0.9
7,4,6.512880332999885,624,6,0.9
10,4,16.691508707999674,1393,6,0.9
13,4,33.292822625000554,2501,6,0.9
3,2,0.00632466699971701,72,7,0.1
3,3,0.10992604199964262,72,7,0.1
5,2,0.0205867920003584,336,7,0.1
5,3,0.44290750000072876,327,7,0.1
7,2,0.044646166000347876,650,7,0.1
7,3,0.9958244589997776,650,7,0.1
9,2,0.07716658299978008,1103,7,0.1
9,3,1.7029734159996224,1114,7,0.1
11,2,0.1271331250000003,1813,7,0.1
11,3,2.812250791000224,1838,7,0.1
13,2,0.1908755829999791,2659,7,0.1
13,3,4.28734516700024,2673,7,0.1
4,4,3.8429417090001152,171,7,0.1
7,4,15.879933000000165,643,7,0.1
10,4,36.73282491600003,1396,7,0.1
13,4,68.41570429200056,2661,7,0.1
3,2,0.003712582999469305,72,7,0.3
3,3,0.07410795800024061,72,7,0.3
5,2,0.015167708000262792,336,7,0.3
5,3,0.3193448330002866,327,7,0.3
7,2,0.0339660419995198,650,7,0.3
7,3,0.7666380420005225,650,7,0.3
9,2,0.05750616700061073,1103,7,0.3
9,3,1.3238756249993457,1103,7,0.3
11,2,0.09803933300008794,1813,7,0.3
11,3,2.242856083999868,1777,7,0.3
13,2,0.1389479580002444,2659,7,0.3
13,3,3.1779586660004497,2641,7,0.3
4,4,2.6562419169995337,171,7,0.3
7,4,11.818342415999723,643,7,0.3
10,4,27.87020287500036,1401,7,0.3
13,4,47.84015691699915,2644,7,0.3
3,2,0.0030368750003617606,72,7,0.6
3,3,0.05083512500004872,72,7,0.6
5,2,0.011727375000191387,336,7,0.6
5,3,0.24351216699960787,327,7,0.6
7,2,0.02681458400002157,650,7,0.6
7,3,0.5854869169997983,650,7,0.6
9,2,0.04517187500005093,1103,7,0.6
9,3,1.0022412080006688,1123,7,0.6
11,2,0.07819941700017807,1813,7,0.6
11,3,1.7401821670000572,1813,7,0.6
13,2,0.10994570799994108,2659,7,0.6
13,3,2.4663394580002205,2628,7,0.6
4,4,1.9009745000003022,171,7,0.6
7,4,9.01967383400006,650,7,0.6
10,4,21.955731915999422,1496,7,0.6
13,4,37.886396915999285,2683,7,0.6
3,2,0.0020464580002226285,72,7,0.9
3,3,0.039025166999635985,72,7,0.9
5,2,0.007627332999618375,336,7,0.9
5,3,0.16406308299974626,327,7,0.9
7,2,0.019871208000040497,650,7,0.9
7,3,0.4208908330001577,650,7,0.9
9,2,0.03902137499972014,1103,7,0.9
9,3,0.8575169169998844,1123,7,0.9
11,2,0.06841120799981582,1813,7,0.9
11,3,1.5179444999994303,1846,7,0.9
13,2,0.09656933400037815,2659,7,0.9
13,3,2.1472627499997543,2681,7,0.9
4,4,1.5332210829992619,171,7,0.9
7,4,6.4840052090003155,650,7,0.9
10,4,16.558098999999856,1397,7,0.9
13,4,33.322872084000664,2636,7,0.9
3,2,0.0054727500000808504,68,8,0.1
3,3,0.10882566700001917,68,8,0.1
5,2,0.020543791999443783,303,8,0.1
5,3,0.43791491699994367,303,8,0.1
7,2,0.045354500000030384,555,8,0.1
7,3,0.9941780829994968,555,8,0.1
9,2,0.07713349999994534,1053,8,0.1
9,3,1.7050669589998506,1049,8,0.1
11,2,0.12657633300023008,1933,8,0.1
11,3,2.8137112499998693,1882,8,0.1
13,2,0.19219812499977706,2273,8,0.1
13,3,4.321218499999304,2225,8,0.1
4,4,3.892139374999715,151,8,0.1
7,4,16.130496415999914,555,8,0.1
10,4,36.80086870800005,1377,8,0.1
13,4,68.82500049999999,2283,8,0.1
3,2,0.0040233749996332335,68,8,0.3
3,3,0.07471237500067218,68,8,0.3
5,2,0.014820291999967594,303,8,0.3
5,3,0.32031454099978873,303,8,0.3
7,2,0.03420116699999198,555,8,0.3
7,3,0.7627942919998532,555,8,0.3
9,2,0.057386082999983046,1053,8,0.3
9,3,1.3158994160003203,1049,8,0.3
11,2,0.09848170900022524,1933,8,0.3
11,3,2.24060874999941,1815,8,0.3
13,2,0.1482904589993268,2273,8,0.3
13,3,3.1948649579999255,2225,8,0.3
4,4,2.675538458999654,151,8,0.3
7,4,11.881044333000318,549,8,0.3
10,4,27.937212374999945,1366,8,0.3
13,4,48.0374817919992,2206,8,0.3
3,2,0.002886499999476655,68,8,0.6
3,3,0.051525082999432925,68,8,0.6
5,2,0.011109916999885172,303,8,0.6
5,3,0.24472812499971042,303,8,0.6
7,2,0.02745416700054193,555,8,0.6
7,3,0.5849347499997748,555,8,0.6
9,2,0.04490966599951207,1053,8,0.6
9,3,0.9953659170005267,1061,8,0.6
11,2,0.07775595800012525,1933,8,0.6
11,3,1.730783459000122,1943,8,0.6
13,2,0.10999400000036985,2273,8,0.6
13,3,2.4582796249997045,2273,8,0.6
4,4,1.9032799169999635,151,8,0.6
7,4,9.045382374999463,555,8,0.6
10,4,21.932346374999725,1374,8,0.6
13,4,38.036554583,2235,8,0.6
3,2,0.0023255829992194776,68,8,0.9
3,3,0.039674540999840247,68,8,0.9
5,2,0.007762250000268978,303,8,0.9
5,3,0.1650126670001555,303,8,0.9
7,2,0.023303500000110944,555,8,0.9
7,3,0.42840266700022767,555,8,0.9
9,2,0.0392429160001484,1053,8,0.9
9,3,0.8644622920000984,1053,8,0.9
11,2,0.06900833300005615,1933,8,0.9
11,3,1.5284869999995863,1813,8,0.9
13,2,0.09749699999974837,2273,8,0.9
13,3,2.1606774169995333,2273,8,0.9
4,4,1.5396721249999246,151,8,0.9
7,4,6.535204457999498,555,8,0.9
10,4,16.599971249999726,1366,8,0.9
13,4,33.354912499999955,2230,8,0.9
3,2,0.005491375000929111,81,9,0.1
3,3,0.10943308399873786,78,9,0.1
5,2,0.020442291999643203,299,9,0.1
